x,y,chromosome
15001,1.24706213403148,1
20001,1.08983005884555,1
25001,0.819860889592948,1
45001,1.13494743938865,1
55001,0.728008300309246,1
65001,0.717242065358201,1
120001,1.67300544190973,1
125001,1.42536653734526,1
150001,0.750865596306475,1
160001,0.894553386281905,1
225001,1.4505819389951,1
255001,1.04266092822313,1
260001,1.18256756122902,1
265001,1.62545377037676,1
320001,0.908338026029542,1
355001,1.70492681775604,1
360001,0.89793804252184,1
380001,0,1
400001,1.59446385712764,1
445001,0.481425873799011,1
520001,1.40142298762036,1
525001,0.973085082276283,1
530001,1.02020892788159,1
545001,0.991672322706134,1
555001,1.29847561779579,1
560001,1.88176355016052,1
565001,1.68497999326093,1
570001,1.2758084202727,1
575001,0.909510681735144,1
590001,1.34130002475821,1
595001,1.06534616412801,1
605001,0.797479940778605,1
610001,1.51423488538029,1
615001,0.852049307028787,1
625001,1.32521962016243,1
680001,1.36914172136656,1
700001,1.40460346844165,1
705001,1.22827007305204,1
710001,1.21452639047771,1
715001,1.23580967034469,1
720001,1.3481122029282,1
725001,1.18845751498028,1
730001,1.12442968432045,1
735001,1.3260678229089,1
740001,1.2199770425824,1
745001,1.57622108262885,1
750001,1.19444913803374,1
755001,1.02025065759124,1
760001,1.15818166575294,1
765001,1.22332777657399,1
770001,1.26933466666638,1
775001,1.08501642994999,1
780001,1.13860505249184,1
785001,1.24197512710164,1
790001,1.12945629090575,1
795001,1.18949541454724,1
800001,1.16771820458664,1
805001,1.10786046570747,1
810001,1.06163795148446,1
815001,1.10731825510667,1
820001,1.12336321515217,1
825001,1.21533206558547,1
830001,1.20160560483916,1
835001,0.997447590445757,1
845001,1.04284424193089,1
850001,0.985719197055803,1
855001,1.03802792723558,1
860001,1.16573465086589,1
870001,0.999744188495215,1
875001,1.05068405209566,1
880001,1.05727039277861,1
885001,0.961065589931363,1
890001,1.08708698716294,1
895001,1.13111264446883,1
900001,0.94150123538074,1
905001,1.0243325246753,1
915001,1.04848926980479,1
920001,1.11633459920147,1
925001,1.20596708145815,1
930001,1.12470460728648,1
935001,1.20634036640389,1
940001,1.06154263977533,1
945001,1.13197351313249,1
950001,1.13865283919687,1
955001,1.05392536941853,1
965001,1.02774057970751,1
970001,1.04569611164496,1
975001,1.05895114800566,1
980001,1.00534981745696,1
985001,1.00412758085768,1
990001,1.00124001821906,1
995001,1.09763933529424,1
1000001,1.04724394989594,1
1005001,1.05166284625512,1
1015001,1.16582704851141,1
1020001,1.11655918232766,1
1025001,1.04819618967187,1
1030001,1.12230847255911,1
1035001,1.0805941988628,1
1040001,1.09466080006314,1
1045001,1.08960425431328,1
1050001,1.03666072706648,1
1055001,1.01837125368231,1
1060001,1.0961461629843,1
1065001,1.13215323180273,1
1070001,1.05422928899642,1
1080001,1.13749323024966,1
1085001,1.06182021519137,1
1090001,1.08506598882819,1
1095001,1.05416326131026,1
1100001,1.09689208041947,1
1105001,1.09351685832098,1
1110001,1.06062853552462,1
1115001,1.03510118730872,1
1120001,1.14543110069267,1
1125001,1.18595666180966,1
1130001,1.05965150917943,1
1135001,1.09726015476632,1
1140001,1.16039629033464,1
1145001,1.08485639113833,1
1150001,1.02051330893452,1
1155001,1.13097033353576,1
1160001,1.04011749326908,1
1165001,1.16722980147513,1
